	mean	median	mode	std	ci_l	ci_u	bayes_factors
B_caccae	-0.3800224788906734	-0.3805305559508695	-0.39641443978645574	0.09096630938519103	-0.5580254038924158	-0.1999102283974829	3.573635532066267
B_cellulosilyticus_WH2	1.9547007416304922	1.734892752677556	1.3458821124801539	1.251422803379409	0.684944685325101	4.440558903409233	26.82931354359926
B_ovatus	31.86304687137542	26.94689316465825	0.7615633526137641	25.43366468274513	2.0188757133893707	98.57626934377237	inf
B_thetaiotaomicron	-0.2171094594959433	-0.172319420068702	-0.18573083848190164	0.3268828528333165	-1.080563622932285	0.2941074645968428	0.01092926864883687
B_uniformis	1.6668136042277133	1.4997611733127325	0.6325825974109847	1.6793935538841567	0.663470999628374	3.31947207123446	14.285326086956522
B_vulgatus	-0.1560081518659692	-0.1561397324018548	-0.09101011584723206	0.4931648468075403	-1.1628273851700537	0.7504595736072274	0.016799792120931387
C_aerofaciens	1.5346261220827573	0.8562361707901303	0.2043061334935281	4.9838307313111665	-0.1837552310891431	4.347888983918868	0.11528309602587457
C_scindens	-0.40833498952315084	-0.33435311413379043	-0.3518418393632099	0.41426034789625893	-1.4725895460472314	0.2288897635099056	0.020813247887483694
C_spiroforme	-0.3317042334824472	-0.34487551352267387	-0.3482417439820563	0.1643349421027273	-0.6241564318189606	0.03170994552552957	0.04876769795490299
P_distasonis	1.1704554466854038	1.0946423806065684	0.9653428802140018	0.5285349800878688	0.3755600624769902	2.4171697981428983	1.6249781251822901
R_obeum	1.4057126932278465	1.3478131930075992	1.240012233306046	0.5079533543782836	0.5911401429893	2.546691373750907	10.837432592397738
