	mean	median	mode	std	ci_l	ci_u
B_caccae	1.1256729614044092e-08	1.1344986072067185e-08	1.1210687508563028e-08	1.52080299233448e-09	8.11674030323997e-09	1.3935390319198977e-08
B_cellulosilyticus_WH2	2.7232462422092152e-09	2.6312406382508725e-09	2.5130659786184774e-09	6.979734634454178e-10	1.602149438787686e-09	4.474059328905006e-09
B_ovatus	1.1826454232110285e-08	1.177413869082161e-08	1.1404794295047361e-08	2.0322073276381477e-09	7.96402750144218e-09	1.594731327658422e-08
B_thetaiotaomicron	7.577148357522232e-09	7.456038889227423e-09	7.31759703647756e-09	1.7207728737587974e-09	4.583648954575334e-09	1.128817120054291e-08
B_uniformis	1.82876460862755e-08	1.811144815775354e-08	1.7629428715158943e-08	4.2905264573963825e-09	1.0310262911020419e-08	2.7223762733633857e-08
B_vulgatus	4.275691048242394e-09	4.117676235500528e-09	3.6125336726355308e-09	1.341427329734351e-09	2.1190842713578628e-09	7.326411353159953e-09
C_aerofaciens	1.9034713358506809e-07	1.8147278068041137e-07	1.536216555086832e-07	6.368441936392203e-08	8.984971921046928e-08	3.3838103291283685e-07
C_scindens	5.9026750772667156e-08	5.792510832253763e-08	5.634609919069191e-08	1.5443649793491806e-08	3.203657550548335e-08	9.21269214189297e-08
C_spiroforme	8.41149908033709e-07	8.317577887447328e-07	8.295173307474222e-07	2.1290846708889885e-07	4.524712917158818e-07	1.2857956896582445e-06
P_distasonis	2.0205641112536212e-08	1.9859850226179845e-08	1.952461331582257e-08	4.183200307834109e-09	1.2960163902550496e-08	2.9560842140298264e-08
R_obeum	2.9335431379479905e-08	2.9199574910797e-08	2.947392590458394e-08	6.287783423089789e-09	1.743116077622361e-08	4.215718961117362e-08
