Source	Target	median	interaction	evidence
Bca	Bov	-8.558691208274414	+	Moderate
Bca	Cae	-8.497825700331717	-	Strong
Bca	Csp	-8.51795279520456	-	Strong
Bca	Pdi	-8.574671320907305	-	Moderate
Bce	Bov	-8.808798244315343	+	Moderate
Bce	Bvu	-8.975789836067948	+	Moderate
Bce	Cae	-8.967028820815933	-	Moderate
Bce	Pdi	-8.830915654016199	+	Strong
Bov	Bca	-8.239962176135416	-	Very strong
Bov	Bce	-8.15907754625861	-	Very strong
Bov	Bth	-8.410956677458966	-	Moderate
Bov	Bun	-8.435320564546807	-	Moderate
Bov	Cae	-8.399632510283293	-	Moderate
Bov	Csc	-8.312962605952842	-	Strong
Bov	Csp	-8.34074762127941	-	Moderate
Bov	Pdi	-8.311356741783804	+	Strong
Bov	Rob	-8.295648980020363	-	Strong
Bth	Bca	-8.353027234212531	-	Strong
Bth	Bce	-8.280696884917036	-	Strong
Bth	Bov	-8.361738296294973	-	Moderate
Bth	Bun	-8.453302894097085	-	Moderate
Bth	Bvu	-8.412300335899213	-	Moderate
Bth	Cae	-8.342540987012573	-	Moderate
Bth	Csp	-8.262433992521206	-	Strong
Bth	Pdi	-8.368071422344338	-	Moderate
Bth	Rob	-8.38967732907192	-	Moderate
Bun	Bce	-8.117028604646046	+	Strong
Bun	Bov	-8.045374704369836	+	Strong
Bun	Bvu	-8.19649162369476	+	Moderate
Bun	Cae	-7.996164321080983	-	Strong
Bun	Csc	-8.292208950548494	+	Moderate
Bun	Csp	-8.033678021607255	-	Strong
Bvu	Bce	-8.80530819448133	+	Moderate
Bvu	Bov	-8.538963779010182	+	Moderate
Bvu	Cae	-8.527270740520283	-	Moderate
Cae	Bca	-7.2345712361210746	-	Strong
Cae	Bce	-7.107260355299504	-	Very strong
Cae	Bov	-7.17493901497822	-	Strong
Cae	Bth	-7.335425621748035	-	Strong
Cae	Bun	-7.311003479806824	-	Strong
Cae	Bvu	-7.342021093239879	-	Strong
Cae	Csc	-7.279179248852436	-	Strong
Cae	Csp	-7.21860796903	-	Strong
Cae	Pdi	-7.299614343532245	-	Strong
Cae	Rob	-7.275887896021024	-	Strong
Csc	Bca	-7.955410798286547	+	Moderate
Csc	Bce	-8.093756127223442	-	Strong
Csc	Bov	-8.460765217455753	-	Moderate
Csc	Bth	-7.961394603427276	+	Moderate
Csc	Bun	-7.931444377714664	+	Moderate
Csc	Bvu	-8.02736542359513	+	Moderate
Csc	Cae	-7.747236956320667	-	Strong
Csc	Csp	-7.870499592027692	-	Strong
Csc	Pdi	-7.935268990356414	-	Moderate
Csc	Rob	-8.108206480852386	-	Moderate
Csp	Bca	-6.703459795341841	-	Strong
Csp	Bce	-6.689471572708607	-	Strong
Csp	Bov	-6.823306384051479	-	Strong
Csp	Bth	-6.919308341817686	-	Strong
Csp	Bun	-7.120577384000105	-	Strong
Csp	Bvu	-6.911024201977217	-	Strong
Csp	Cae	-7.117695290371046	-	Strong
Csp	Csc	-6.926176101813754	-	Strong
Csp	Pdi	-7.086005701566356	-	Strong
Csp	Rob	-6.980856003979375	-	Strong
Pdi	Bca	-8.14220712959206	-	Moderate
Pdi	Bce	-8.034263749718797	-	Strong
Pdi	Bov	-7.987993391993073	-	Strong
Pdi	Bth	-8.116169782379986	-	Moderate
Pdi	Bun	-8.120946212845585	-	Moderate
Pdi	Cae	-7.941208012903482	-	Strong
Pdi	Csc	-8.09228607980644	-	Moderate
Pdi	Csp	-7.9322728703313645	-	Strong
Pdi	Rob	-8.038539205447623	-	Strong
Rob	Bca	-7.901455332762212	-	Strong
Rob	Bce	-7.81030594975084	-	Very strong
Rob	Bov	-7.888185341924289	-	Strong
Rob	Bth	-8.055012248485607	-	Strong
Rob	Bun	-8.0363884790381	-	Strong
Rob	Bvu	-8.15377859343024	-	Moderate
Rob	Cae	-7.9621091301371125	-	Strong
Rob	Csc	-7.949229014341414	-	Strong
Rob	Csp	-7.877682612511881	-	Strong
Rob	Pdi	-8.847131038757627	-	Moderate
