	B_cellulosilyticus_WH2	B_ovatus	B_uniformis	P_distasonis	R_obeum	B_caccae	B_thetaiotaomicron	B_vulgatus	C_aerofaciens	C_scindens	D_longicatena	C_spiroforme
B_cellulosilyticus_WH2	0.0	1.1460026951309483e-10	1.0819811770125176e-10	-8.267845774549747e-10	-3.9622776004445554e-11	-2.4621313757209963e-09	-2.4477228469322985e-09	-1.4447712651788438e-09	-2.1698856405610086e-09	-2.4627063740746944e-09	-2.0580971425918226e-09	-9.564128949429294e-08
B_ovatus	-6.261269019292851e-12	0.0	8.41782017389295e-12	-8.466926723844919e-10	-5.6516532767795756e-11	-2.577901189338607e-09	-2.563720994619911e-09	-1.4673051148797292e-09	-2.221550749046557e-09	-2.568755565952644e-09	-2.112086030810662e-09	-9.68296851202054e-08
B_uniformis	5.752036376726751e-11	7.93613261725764e-11	0.0	-8.28675032602329e-10	-5.080745765617037e-11	-2.4320122949188215e-09	-2.4250229611109233e-09	-1.4198569473456593e-09	-2.1645869823187606e-09	-2.4285600568874596e-09	-2.0455234443255282e-09	-9.390162871650344e-08
P_distasonis	6.663738409697486e-10	7.579651652964273e-10	6.824706644867071e-10	0.0	5.609526754963622e-10	-1.2631786244720995e-09	-1.2575865864678618e-09	-6.026638548289718e-10	-1.1005787030859316e-09	-1.25867159080185e-09	-8.929664141184333e-10	-6.501074515747471e-08
R_obeum	2.0144028730169587e-10	3.071700501149391e-10	2.416457407614797e-10	-6.694872075643436e-10	0.0	-1.9968988850466595e-09	-1.997739979298838e-09	-1.1603309811656196e-09	-1.8355421950596755e-09	-2.0034589318224477e-09	-1.722093961109902e-09	-8.096363343079062e-08
B_caccae	1.2079121331641327e-09	1.176935385558483e-09	1.2420423805511517e-09	8.253629163024859e-10	1.2259561111967343e-09	0.0	1.2199392719059549e-12	3.540508786269979e-10	1.7969017861223457e-10	3.4228621956956565e-12	3.214860662843323e-10	-2.87816985054411e-08
B_thetaiotaomicron	1.2078311796465766e-09	1.179583950240767e-09	1.244956930732659e-09	8.250623307280612e-10	1.2312998959106108e-09	-3.943837383656723e-12	0.0	3.549790299579729e-10	1.8067524295644423e-10	8.245624180614902e-14	3.114629326337296e-10	-2.9286310181357865e-08
B_vulgatus	9.787060627967732e-10	1.0711655589623886e-09	1.0593422260215483e-09	4.844056281117433e-10	9.248247536880792e-10	-6.723063254377708e-10	-6.671731653964409e-10	0.0	-4.910016715112624e-10	-6.648149362566962e-10	-3.046690989957408e-10	-5.0378025997525815e-08
C_aerofaciens	1.2790349221358567e-09	1.344520894357719e-09	1.3084228993522775e-09	6.69594358802115e-10	1.1500747209360832e-09	-1.430524200094258e-10	-1.3797961193674274e-10	2.1750103912680243e-10	0.0	-1.372483138243365e-10	1.7499261823725973e-10	-3.506266184580773e-08
C_scindens	1.219210526934853e-09	1.2044032085418945e-09	1.262510387266351e-09	8.244280733518453e-10	1.2316414041338609e-09	-5.604142337735196e-12	-4.123337072426579e-12	3.5335759675516435e-10	1.783152934883412e-10	0.0	3.2184313270361867e-10	-2.892776580675262e-08
D_longicatena	1.2302665160136966e-09	1.2818649061153457e-09	1.242298702854947e-09	5.957082773014424e-10	1.0848924947024489e-09	-2.86784322195182e-10	-2.8174271107338304e-10	1.608593437069737e-10	-1.1087672945699936e-10	-2.787112412319454e-10	0.0	-4.224055770171952e-08
C_spiroforme	4.6223086363820733e-10	4.573229616419059e-10	4.83565679401167e-10	3.1071201271781757e-10	4.4930023915254677e-10	-4.295755067353337e-12	-4.645281220336062e-12	1.4565798761388537e-10	7.389010714265336e-11	-2.2931729627817932e-12	1.5713178651587498e-10	0.0
