,B_caccae,B_thetaiotaomicron,B_uniformis,B_vulgatus,C_scindens,D_longicatena,B_cellulosilyticus_WH2,B_ovatus,C_aerofaciens,P_distasonis,R_obeum,C_spiroforme
B_caccae,,0.5912842105263157,0.6621894736842105,0.5962526315789474,0.6668631578947368,0.5254736842105263,0.058105263157894736,0.00016842105263157895,0.16997894736842106,0.037136842105263156,0.0007157894736842105,0.38606315789473683
B_thetaiotaomicron,0.5912842105263157,,0.5781473684210526,0.5726315789473684,0.5944842105263158,0.49549473684210527,0.11911578947368422,0.0002105263157894737,0.23242105263157894,0.06837894736842105,0.0006736842105263158,0.4344842105263158
B_uniformis,0.6621894736842105,0.5781473684210526,,0.6225263157894737,0.666021052631579,0.5334736842105263,0.05827368421052632,0.0015578947368421053,0.17170526315789475,0.04610526315789474,0.0023157894736842107,0.3863578947368421
B_vulgatus,0.5962526315789474,0.5726315789473684,0.6225263157894737,,0.5916631578947369,0.47637894736842107,0.1560421052631579,0.03768421052631579,0.2735157894736842,0.11477894736842105,0.045178947368421055,0.44858947368421054
C_scindens,0.6668631578947368,0.5944842105263158,0.666021052631579,0.5916631578947369,,0.530821052631579,0.05591578947368421,0.0001263157894736842,0.1678736842105263,0.03591578947368421,0.0007157894736842105,0.38025263157894734
D_longicatena,0.5254736842105263,0.49549473684210527,0.5334736842105263,0.47637894736842107,0.530821052631579,,0.18661052631578948,0.16850526315789474,0.1944842105263158,0.18037894736842106,0.16357894736842105,0.35393684210526316
B_cellulosilyticus_WH2,0.058105263157894736,0.11911578947368422,0.05827368421052632,0.1560421052631579,0.05591578947368421,0.18661052631578948,,0.7408421052631579,0.7350736842105263,0.8415157894736842,0.8109473684210526,0.43115789473684213
B_ovatus,0.00016842105263157895,0.0002105263157894737,0.0015578947368421053,0.03768421052631579,0.0001263157894736842,0.16850526315789474,0.7408421052631579,,0.4980631578947368,0.7619789473684211,0.9083789473684211,0.2559578947368421
C_aerofaciens,0.16997894736842106,0.23242105263157894,0.17170526315789475,0.2735157894736842,0.1678736842105263,0.1944842105263158,0.7350736842105263,0.4980631578947368,,0.6938947368421052,0.5769263157894737,0.5034526315789474
P_distasonis,0.037136842105263156,0.06837894736842105,0.04610526315789474,0.11477894736842105,0.03591578947368421,0.18037894736842106,0.8415157894736842,0.7619789473684211,0.6938947368421052,,0.8427368421052631,0.37738947368421055
R_obeum,0.0007157894736842105,0.0006736842105263158,0.0023157894736842107,0.045178947368421055,0.0007157894736842105,0.16357894736842105,0.8109473684210526,0.9083789473684211,0.5769263157894737,0.8427368421052631,,0.2920421052631579
C_spiroforme,0.38606315789473683,0.4344842105263158,0.3863578947368421,0.44858947368421054,0.38025263157894734,0.35393684210526316,0.43115789473684213,0.2559578947368421,0.5034526315789474,0.37738947368421055,0.2920421052631579,
