	B_caccae	B_thetaiotaomicron	B_uniformis	B_vulgatus	C_scindens	D_longicatena	B_cellulosilyticus_WH2	B_ovatus	C_aerofaciens	P_distasonis	R_obeum	C_spiroforme
B_caccae	0.0	0.14443764233711354	0.03053773680467229	0.09343966526088	0.04828788974424564	0.4513720500270232	0.16093474042198744	1.4142558966392664	0.212964696288344	0.8153607871046729	1.3979179418096865	0.18846038148072725
B_thetaiotaomicron	0.049399870962406986	0.0	0.058221019564749905	0.028409556000107163	0.061222884681861774	0.4627947288081951	0.09620810290260272	1.257675768023801	0.1131191486021066	0.7285473792034983	1.2553021787064034	0.09906503171296395
B_uniformis	0.0413662822766171	0.16234182466021396	0.0	0.122776917135984	0.03761136713419843	0.4452485805175767	0.16084681370952816	1.3346215872116667	0.24030394429167543	0.7866398457458573	1.3184432748159114	0.2209868657271466
B_vulgatus	0.08255725810870113	0.09041384616286434	0.0962946469914949	0.0	0.10357093884520278	0.4934379419813261	0.05539272949626195	1.2551891809110596	0.11781466208878383	0.7298545864425755	1.2505586385972538	0.11433598407975157
C_scindens	0.02670782050794648	0.12661156647097993	0.013204556375214182	0.1057390193220883	0.0	0.4286186463904445	0.17132336633937353	1.4109837762832815	0.21590434607435713	0.7944914243085281	1.3987334966336384	0.19164832904609586
D_longicatena	0.9239374469928135	0.5068841607776707	1.1124440002099754	1.2505586385972538	0.827888729639464	0.0	0.17546855272622433	0.8716020224511549	0.5363079647615852	0.6190392586818084	0.883665092228494	0.6934994333061698
B_cellulosilyticus_WH2	0.8499499248139455	0.3845896253282013	1.107845294180809	1.2395092078615602	0.7857230408563778	0.8067555746085388	0.0	1.171652398779483	0.5232483238486364	0.8055276254411085	1.1597937080709984	0.661106196867122
B_ovatus	2.198486012623003	1.5165901818122989	2.549671958045568	3.0953422490231954	2.057301890624596	1.25665836685032	0.8930469229817882	0.0	1.5358603980368601	0.5834992043911295	0.0160882398752738	1.8228228673738602
C_aerofaciens	0.2943494817162709	0.1951047317054612	0.32744680489900563	0.25404170413827704	0.2936230168786768	0.6114967277147716	0.06362598196585717	1.2356818782678474	0.0	0.766514096603624	1.2174891082433987	0.16612576068385254
P_distasonis	1.2317452808252938	0.6969915977887564	1.4374593636032789	1.5731845482709859	1.159683023381316	0.7708770241294693	0.38848887043739705	0.41382889229354675	0.7731108939798139	0.0	0.39815971861157146	0.9432077894561135
R_obeum	2.085386918718125	1.4486328725228552	2.423415587325181	2.97530122131955	1.9611366120702574	1.2721696471241064	0.8908560627294743	0.024241580606455492	1.5118145876515265	0.575047955790032	0.0	1.7937714096093267
C_spiroforme	0.20096065536045504	0.1767040993784053	0.24891838295372373	0.1813848993401756	0.22965048772695618	0.534865606342684	0.05376521737225911	1.2515747033401843	0.10955765027514772	0.7513283953355822	1.2586933921920354	0.0
